idjunc,typejunc,xjunc,yjunc,incLanes,intLanes
1114038304,priority,1405.56,408.05,"['26824848#4_0', '-96152251#0_0']","[':1114038304_0_0', ':1114038304_4_0', ':1114038304_2_0', ':1114038304_5_0']"
1114038331,priority,1217.69,1099.03,"['-96144319_0', '555282429#1_0']","[':1114038331_0_0', ':1114038331_4_0', ':1114038331_2_0', ':1114038331_5_0']"
1114038385,priority,1405.51,414.41,"['96144327#1_0', '26824662#6_0', '-26824662#7_0']","[':1114038385_0_0', ':1114038385_1_0', ':1114038385_2_0', ':1114038385_6_0', ':1114038385_4_0', ':1114038385_7_0']"
1114113629,right_before_left,1160.02,392.18,"['-96152248#0_0', '96152229#3_0', '-96152229#4_0']","[':1114113629_0_0', ':1114113629_1_0', ':1114113629_2_0', ':1114113629_3_0', ':1114113629_4_0', ':1114113629_5_0', ':1114113629_6_0', ':1114113629_7_0', ':1114113629_8_0']"
1114113633,right_before_left,1436.00,375.68,"['96152259#2_0', '-96152259#1_0', '96152259#0_0']","[':1114113633_0_0', ':1114113633_1_0', ':1114113633_2_0', ':1114113633_3_0', ':1114113633_4_0', ':1114113633_5_0', ':1114113633_6_0', ':1114113633_7_0', ':1114113633_8_0']"
1114113638,priority,771.60,565.10,['96152229#9_0'],[':1114113638_0_0']
1114113652,right_before_left,1056.65,548.28,"['96152245#2_0', '96152210_0', '-96152245#3_0']","[':1114113652_0_0', ':1114113652_1_0', ':1114113652_2_0', ':1114113652_3_0', ':1114113652_4_0', ':1114113652_5_0', ':1114113652_6_0', ':1114113652_7_0', ':1114113652_8_0']"
1114113658,right_before_left,1292.80,505.75,"['-96152260#4_0', '-96152206#0_0', '96152260#3_0']","[':1114113658_0_0', ':1114113658_1_0', ':1114113658_2_0', ':1114113658_3_0', ':1114113658_4_0', ':1114113658_5_0', ':1114113658_6_0', ':1114113658_7_0', ':1114113658_8_0']"
1114113667,right_before_left,788.23,558.32,"['-96152245#0_0', '96152229#8_0', '-96152229#9_0']","[':1114113667_0_0', ':1114113667_1_0', ':1114113667_2_0', ':1114113667_3_0', ':1114113667_4_0', ':1114113667_5_0', ':1114113667_6_0', ':1114113667_7_0', ':1114113667_8_0']"
1114113699,priority,1226.53,465.74,['96152206#1_0'],[':1114113699_0_0']
1114113709,priority,1382.46,355.84,['96152216#2_0'],[':1114113709_0_0']
1114113732,priority,1305.91,472.57,['96152211_0'],[':1114113732_0_0']
1114113739,priority,1188.33,493.44,['96152212_0'],[':1114113739_0_0']
1114113744,right_before_left,1341.99,495.03,"['-96152260#5_0', '-96152211_0', '96152260#4_0']","[':1114113744_0_0', ':1114113744_1_0', ':1114113744_2_0', ':1114113744_3_0', ':1114113744_4_0', ':1114113744_5_0', ':1114113744_6_0', ':1114113744_7_0', ':1114113744_8_0']"
1114113760,priority,1211.36,398.07,['96152248#1_0'],[':1114113760_0_0']
1114113771,right_before_left,1030.90,459.38,"['-96152220_0', '96152229#7_0', '-96152229#8_0']","[':1114113771_0_0', ':1114113771_1_0', ':1114113771_2_0', ':1114113771_3_0', ':1114113771_4_0', ':1114113771_5_0', ':1114113771_6_0', ':1114113771_7_0', ':1114113771_8_0']"
1114113772,right_before_left,1365.76,466.53,"['-96152260#7_0', '-96152246_0', '96152260#6_0']","[':1114113772_0_0', ':1114113772_1_0', ':1114113772_2_0', ':1114113772_3_0', ':1114113772_4_0', ':1114113772_5_0', ':1114113772_6_0', ':1114113772_7_0', ':1114113772_8_0']"
